,movies,rating,genre
0,Fight Club,8.8,Drama            
1,Pulp Fiction,8.9,"Crime, Drama            "
2,Se7en,8.6,"Crime, Drama, Mystery            "
3,The Godfather,9.2,"Crime, Drama            "
4,The Departed,8.5,"Crime, Drama, Thriller            "
5,The Bourne Ultimatum,8,"Action, Mystery, Thriller            "
6,The Dark Knight,9,"Action, Crime, Drama            "
7,The Shawshank Redemption,9.3,Drama            
8,Sin City,8,"Crime, Thriller            "
9,American History X,8.5,"Crime, Drama            "
10,The Godfather Part II,9,"Crime, Drama            "
11,Alien,8.5,"Horror, Sci-Fi            "
12,Aliens,8.4,"Action, Adventure, Sci-Fi            "
13,The Lord of the Rings: The Fellowship of the Ring,8.8,"Action, Adventure, Drama            "
14,The Lord of the Rings: The Two Towers,8.8,"Action, Adventure, Drama            "
15,The Lord of the Rings: The Return of the King,9,"Action, Adventure, Drama            "
16,The Bourne Identity,7.9,"Action, Mystery, Thriller            "
17,The Bourne Supremacy,7.7,"Action, Mystery, Thriller            "
18,Spider-Man,7.4,"Action, Adventure, Sci-Fi            "
19,X: First Class,7.7,"Action, Adventure, Sci-Fi            "
20,X-Men: Days of Future Past,7.9,"Action, Adventure, Sci-Fi            "
21,The Prestige,8.5,"Drama, Mystery, Sci-Fi            "
22,Memento,8.4,"Mystery, Thriller            "
23,L.A. Confidential,8.2,"Crime, Drama, Mystery            "
24,The Deer Hunter,8.1,"Drama, War            "
25,Mystic River,7.9,"Crime, Drama, Mystery            "
26,The Wolf of Wall Street,8.2,"Biography, Comedy, Crime            "
27,The Butterfly Effect,7.6,"Drama, Sci-Fi, Thriller            "
28,Source Code,7.5,"Action, Drama, Mystery            "
29,Psycho,8.5,"Horror, Mystery, Thriller            "
30,American Psycho,7.6,"Crime, Drama, Horror            "
31,Requiem for a Dream,8.3,Drama            
32,50/50,7.6,"Comedy, Drama, Romance            "
33,Rocky,8.1,"Drama, Sport            "
34,Warrior,8.2,"Action, Drama, Sport            "
35,The Social Network,7.8,"Biography, Drama            "
36,Gladiator,8.5,"Action, Adventure, Drama            "
37,Match Point,7.6,"Drama, Romance, Thriller            "
38,The Green Mile,8.6,"Crime, Drama, Fantasy            "
39,The Sixth Sense,8.2,"Drama, Mystery, Thriller            "
40,Unbreakable,7.3,"Drama, Mystery, Sci-Fi            "
41,In Bruges,7.9,"Comedy, Crime, Drama            "
42,(500) Days of Summer,7.7,"Comedy, Drama, Romance            "
43,Zero Dark Thirty,7.4,"Drama, History, Thriller            "
44,[Rec],7.4,"Horror, Mystery, Thriller            "
45,Saw,7.6,"Horror, Mystery, Thriller            "
46,Short Term 12,7.9,Drama            
47,Goodfellas,8.7,"Biography, Crime, Drama            "
48,Star Wars: Episode VI - Return of the Jedi,8.3,"Action, Adventure, Fantasy            "
49,Superbad,7.6,Comedy            
